INFO 2025-12-04 06:45:20,739 autoreload Watching for file changes with StatReloader
INFO 2025-12-04 06:47:31,524 autoreload Watching for file changes with StatReloader
INFO 2025-12-04 06:47:47,214 autoreload Watching for file changes with StatReloader
INFO 2025-12-04 06:49:09,775 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-12-04 07:00:04,148 autoreload Watching for file changes with StatReloader
DEBUG 2025-12-04 07:00:04,151 autoreload Waiting for apps ready_event.
DEBUG 2025-12-04 07:00:04,256 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-12-04 07:00:04,267 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/templates with glob **/*.
DEBUG 2025-12-04 07:00:04,267 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django_filters/templates with glob **/*.
DEBUG 2025-12-04 07:00:04,267 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2025-12-04 07:00:04,268 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/accounts/templates with glob **/*.
DEBUG 2025-12-04 07:00:04,268 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-12-04 07:00:04,268 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,268 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,268 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/accounts/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,269 autoreload Watching dir /Volumes/Programming/React-Python/YAW/Illustration-System/backend/illustrations/locale with glob **/*.mo.
DEBUG 2025-12-04 07:00:04,306 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-12-04 07:00:04,308 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-12-04 07:00:04,341 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_bisect.cpython-313-darwin.so first seen with mtime 1751932471.3120954
DEBUG 2025-12-04 07:00:04,341 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1764340271.2134955
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/migrations/operations/base.py first seen with mtime 1764340271.674701
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/backends/base/client.py first seen with mtime 1764340271.6596365
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/illustrations/urls.py first seen with mtime 1764417007.30465
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/utils/json.py first seen with mtime 1764340387.6202993
DEBUG 2025-12-04 07:00:04,341 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/decorators.py first seen with mtime 1764340387.5610807
DEBUG 2025-12-04 07:00:04,341 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_json.cpython-313-darwin.so first seen with mtime 1751932473.214248
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/utils/decorators.py first seen with mtime 1764340271.717408
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/sqlparse/cli.py first seen with mtime 1764340270.7934802
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/sqlparse/lexer.py first seen with mtime 1764340270.7942789
